0,4,20
0,6,18
0,11,6
0,12,1
0,15,11
0,17,5
1,3,12
1,11,18
1,12,18
1,13,10
1,14,4
1,16,20
1,17,16
2,4,3
2,5,19
2,6,6
2,7,15
2,8,15
2,14,13
2,16,7
3,5,20
3,7,14
3,12,19
3,14,5
3,15,1
3,17,3
4,7,7
4,9,9
4,10,14
4,12,13
4,13,7
4,15,5
4,16,8
5,7,2
5,13,20
5,15,12
5,16,14
6,8,20
6,9,3
6,13,3
6,14,8
6,15,4
6,16,9
7,8,7
7,12,11
7,13,17
7,14,8
8,13,3
8,14,4
8,15,2
9,11,9
9,12,19
9,13,3
9,14,10
9,15,2
9,17,7
10,12,14
10,16,17
10,17,13
11,12,13
11,14,11
11,16,19
12,15,5
12,16,3
13,17,5
14,15,16
14,17,5
15,16,15
