0,3,20
0,7,17
0,8,4
0,10,11
0,11,2
0,15,10
0,17,4
1,2,9
1,3,17
1,5,5
1,6,14
1,9,8
1,10,19
1,11,18
1,15,20
1,18,11
2,3,20
2,4,12
2,6,11
2,7,18
2,8,17
2,9,17
2,10,11
2,11,4
2,14,15
2,15,9
3,7,3
3,8,9
3,12,9
3,15,9
3,16,16
4,6,6
4,7,3
4,13,18
4,15,7
4,19,11
5,6,17
5,8,18
5,15,19
6,9,15
6,12,15
6,13,15
6,16,18
6,18,1
7,11,14
7,14,4
8,12,19
8,13,5
8,15,17
9,10,9
9,14,16
9,15,16
9,16,8
9,19,4
10,11,11
10,15,1
10,16,4
10,17,9
10,18,16
10,19,11
11,15,15
11,18,5
12,13,5
12,14,9
12,15,15
12,18,1
13,14,6
13,16,11
13,17,4
13,18,3
13,19,10
14,16,6
14,18,11
15,17,8
15,18,19
15,19,7
