0,3,9
0,6,13
0,7,13
0,11,5
0,12,9
0,15,8
0,17,3
1,2,6
1,5,12
1,10,15
1,11,20
1,16,16
1,17,1
1,18,18
2,4,12
2,5,16
2,6,5
2,10,17
2,11,11
2,14,18
2,15,20
3,5,15
3,7,17
3,8,5
3,11,1
3,14,14
4,5,18
4,7,14
4,8,8
4,11,3
4,13,7
4,15,4
4,17,18
5,6,18
5,8,12
5,9,7
5,10,7
5,12,12
5,15,7
5,16,8
6,7,7
6,8,4
6,9,19
6,11,6
6,12,2
6,16,11
6,18,12
7,14,4
7,16,1
7,18,11
8,12,2
8,14,6
8,15,20
8,18,2
9,10,3
9,13,12
9,15,15
9,18,14
10,11,14
10,14,7
10,18,2
11,12,13
11,14,19
11,15,12
11,17,16
11,18,19
12,14,13
12,15,15
12,17,2
13,14,6
13,17,19
13,18,19
14,15,15
14,18,8
15,16,15
16,17,17
16,18,9
17,18,16
