0,1,16
0,2,2
0,3,10
0,6,17
0,14,15
0,15,9
0,17,6
1,3,14
1,6,10
1,7,9
1,9,15
1,10,16
1,12,4
1,14,15
1,16,16
1,17,17
2,5,3
2,7,8
2,8,2
2,9,12
2,10,18
2,11,18
2,13,7
2,16,10
2,17,2
3,4,20
3,8,9
3,11,9
3,12,18
3,13,18
3,15,15
4,6,9
4,7,12
4,10,15
4,12,11
4,13,1
4,17,13
5,6,17
5,10,2
5,11,1
5,12,2
5,13,12
5,17,17
6,8,6
6,12,20
6,14,2
6,15,4
6,16,14
7,10,14
7,12,17
7,14,14
7,17,3
8,11,8
8,15,4
9,14,10
9,16,14
9,17,19
10,13,10
10,15,11
11,12,19
11,13,7
12,13,11
12,14,16
13,17,1
14,15,3
14,16,6
14,17,14
16,17,1
