0,2,12
0,5,5
0,6,16
0,7,13
0,8,2
0,9,3
0,10,15
0,12,9
0,13,13
0,15,3
1,2,13
1,3,12
1,5,5
1,8,4
1,9,17
1,10,10
1,13,1
1,14,16
1,16,13
1,18,6
2,3,14
2,9,15
2,10,7
2,13,1
2,14,8
2,16,17
3,8,4
3,11,20
3,12,17
3,13,1
3,15,16
3,16,20
3,18,9
4,5,13
4,7,15
4,9,2
4,13,16
4,15,17
4,16,8
4,18,2
5,7,16
5,9,10
5,10,9
5,11,1
5,18,17
6,8,17
6,9,5
6,10,13
6,11,13
6,12,12
6,13,9
6,14,4
6,15,1
6,17,5
6,18,7
7,8,15
7,11,3
7,12,16
7,13,20
7,14,14
7,16,19
7,17,7
7,18,20
8,9,6
8,10,12
8,12,20
8,13,10
8,15,14
8,17,7
9,11,13
9,12,16
9,14,18
9,16,7
9,18,12
10,11,20
10,12,9
10,17,16
10,18,19
11,13,18
11,14,17
11,15,11
11,18,3
12,14,5
12,16,6
13,14,9
13,16,10
14,17,4
14,18,13
15,16,2
16,18,16
