0,1,15
0,3,4
0,5,8
0,8,12
0,9,3
0,10,5
0,12,18
0,13,5
0,14,8
0,15,17
0,16,2
1,2,17
1,8,16
1,10,1
1,12,18
1,13,17
1,14,6
1,17,19
1,18,9
2,8,13
2,10,7
2,11,19
2,12,20
2,13,1
2,14,19
2,15,15
2,16,5
2,18,2
3,5,3
3,9,12
3,12,20
3,13,15
3,14,1
3,17,15
4,7,19
4,8,2
4,9,17
4,13,13
4,16,18
4,18,18
5,7,15
5,8,10
5,9,15
5,14,11
5,15,16
5,16,20
5,17,15
5,18,9
6,7,11
6,9,12
6,10,14
6,12,6
6,13,12
6,16,13
6,17,11
7,9,10
7,10,5
7,14,17
7,18,12
8,12,18
8,13,15
8,14,18
8,17,9
9,11,14
9,12,1
9,14,6
9,15,19
9,17,11
10,12,1
10,15,18
10,16,15
11,12,3
11,15,6
11,17,8
11,18,2
12,13,1
12,14,4
12,17,4
13,15,10
13,18,8
14,17,12
