0,1,19
0,5,11
0,8,3
0,10,10
0,13,13
0,14,15
0,15,1
1,6,6
1,8,5
1,9,12
1,10,14
1,12,14
1,13,20
2,3,19
2,6,3
2,7,7
2,10,6
2,11,7
2,12,12
2,14,14
2,15,3
2,16,1
3,4,8
3,7,3
3,8,8
3,14,16
4,5,12
4,7,16
4,9,11
4,10,1
4,11,10
4,12,9
4,13,9
4,15,19
5,7,15
5,10,9
5,11,20
5,13,1
5,15,8
5,16,6
6,9,17
6,12,6
6,13,1
6,14,20
6,16,8
7,8,12
7,11,19
7,12,5
7,14,3
7,15,10
7,16,11
8,11,2
8,13,7
8,14,1
8,15,1
9,11,20
9,13,16
9,14,2
9,15,20
10,11,16
10,15,1
11,12,8
11,13,10
11,15,15
12,14,17
13,15,9
13,16,11
14,16,8
15,16,18
